Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
23,159,64,4,6000,13,5,1,16.76,113,7299
23,20,64,4,6000,13,5,1,16.76,113,7299
37,149,128,8,5000,50,16,0,16.64,75,11999
69,201,32,2,5000,8,5,0,16.56,56,5649
12,130,128,8,5000,50,5,1,16.76,14,8999
12,88,128,8,5000,50,5,1,16.76,14,8999
12,151,128,8,5000,50,5,1,16.76,14,8999
12,65,128,8,5000,50,5,1,16.76,14,8999
12,65,64,4,5000,50,5,1,16.76,14,7999
12,151,64,4,5000,50,5,1,16.76,14,7999
83,210,64,4,6000,50,5,0,17.02,75,9499
12,88,64,4,5000,50,5,1,16.76,14,7999
23,71,64,4,6000,13,5,1,16.76,113,7299
112,267,128,4,6000,50,8,0,16.76,12,10699
111,169,64,4,5000,13,5,0,16.51,65,7299
70,201,64,4,5000,8,5,0,16.56,19,6999
12,130,64,4,5000,50,5,1,16.76,14,7999
70,186,64,4,5000,8,5,0,16.56,19,6999
69,48,32,2,5000,8,5,0,16.56,56,5649
40,46,64,4,5000,13,5,0,16.51,114,7299
172,14,128,8,5000,50,8,0,16.71,5,15999
172,131,128,8,5000,50,8,0,16.71,5,15999
172,90,128,8,5000,50,8,0,16.71,5,15999
172,131,128,6,5000,50,8,0,16.71,5,13999
172,90,128,4,5000,50,8,0,16.71,5,12999
172,90,128,6,5000,50,8,0,16.71,5,13999
172,131,128,4,5000,50,8,0,16.71,5,12999
172,131,128,6,5000,50,8,0,16.71,5,13999
27,94,64,2,5000,8,5,1,16.76,107,6199
90,25,32,3,5000,8,5,0,16.56,56,6599
90,119,32,3,5000,8,5,0,16.56,56,6599
71,186,64,4,5000,50,5,0,17.04,59,7749
90,120,32,3,5000,8,5,0,16.56,56,6599
71,40,64,4,5000,50,5,0,17.04,59,7749
71,81,64,4,5000,50,5,0,17.04,59,7749
71,40,128,6,5000,50,5,0,17.04,59,8999
112,161,64,4,6000,50,8,0,16.76,12,9699
112,161,128,4,6000,50,8,0,16.76,12,10699
44,133,128,4,5000,50,8,0,16.51,20,9999
75,40,64,4,5000,50,8,0,16.71,47,11999
42,68,64,4,5000,50,8,0,16.51,58,7999
83,35,128,6,6000,50,5,0,17.02,75,10999
111,111,64,4,5000,13,5,0,16.51,65,7299
37,207,128,8,5000,50,16,0,16.64,75,11999
83,249,64,4,6000,50,5,0,17.02,75,9499
112,247,128,4,6000,50,8,0,16.76,12,10699
42,6,64,4,5000,50,8,0,16.51,58,7999
44,117,128,4,5000,50,8,0,16.51,20,9999
42,6,64,4,5000,50,8,0,16.51,58,7999
71,186,128,6,5000,50,5,0,17.04,59,8999
171,264,128,8,4500,40,16,0,16.21,104,20999
171,162,128,8,4500,40,16,0,16.21,104,20999
39,84,128,6,5000,50,16,0,16.64,79,15499
69,201,32,2,5000,8,5,0,16.56,56,6999
171,162,128,6,4500,32,16,0,16.21,104,18999
171,264,128,6,4500,32,16,0,16.21,104,18999
78,273,64,4,5000,50,8,0,16.71,63,12499
39,148,128,6,5000,50,16,0,16.64,79,15499
75,186,64,4,5000,50,8,0,16.71,47,11999
112,267,64,4,6000,50,8,0,16.76,12,9699
112,247,64,4,6000,50,8,0,16.76,12,9699
78,186,64,4,5000,50,8,0,16.71,63,12499
40,50,64,4,5000,13,5,0,16.51,114,7299
151,205,128,4,5000,50,5,0,16.51,116,10499
151,3,128,4,5000,50,5,0,16.51,116,10499
113,86,128,6,6000,50,13,0,16.76,10,14490
50,146,128,8,5000,50,16,0,16.51,53,16999
151,160,128,4,5000,50,5,0,16.51,116,10499
147,24,32,3,5000,8,5,0,16.51,116,6499
147,114,32,3,5000,8,5,0,16.51,116,6499
147,64,32,2,5000,8,5,0,16.51,116,5999
147,64,32,3,5000,8,5,0,16.51,116,6499
81,272,128,6,5000,48,13,0,16.94,77,15999
90,119,32,2,5000,8,5,0,16.56,56,6299
76,273,128,8,5000,64,16,0,16.33,62,13999
39,148,128,8,5000,50,16,0,41.94,79,16499
69,201,32,3,5000,8,5,0,16.56,56,6299
78,104,128,6,5000,50,8,0,16.71,63,14499
86,79,64,4,5000,50,8,0,16.71,22,9999
153,252,128,8,5000,64,8,0,17.07,21,13999
153,199,128,8,5000,64,8,0,17.07,21,13999
153,252,64,6,5000,64,8,0,17.07,21,11999
153,198,128,8,5000,64,8,0,17.07,21,13999
153,199,64,6,5000,64,8,0,17.07,21,11999
153,198,64,6,5000,64,8,0,17.07,21,11999
153,252,64,4,5000,64,8,0,17.07,21,10999
153,198,64,4,5000,64,8,0,17.07,21,10999
153,199,64,4,5000,64,8,0,17.07,21,10999
39,84,128,8,5000,50,16,0,41.94,79,16499
113,22,128,6,6000,50,13,0,16.76,10,14490
113,22,128,4,6000,50,13,0,16.76,10,13490
113,22,128,4,6000,50,13,0,16.76,10,13490
83,35,64,4,6000,50,5,0,17.02,75,9499
86,180,64,4,5000,50,8,0,16.71,22,9999
50,124,128,8,5000,50,16,0,16.51,53,16999
78,104,64,4,5000,50,8,0,16.71,63,12499
135,58,128,8,5000,108,16,0,17.07,79,19999
135,156,128,6,5000,108,16,0,17.07,79,18999
53,156,128,6,800,0,0,0,4.5,99,1449
78,186,128,6,5000,50,8,0,16.71,63,14499
78,273,128,6,5000,50,8,0,16.71,63,14499
77,273,128,8,5000,50,16,0,16.76,49,15999
135,100,128,8,5000,108,16,0,17.07,79,19999
135,58,128,6,5000,108,16,0,17.07,79,18999
135,156,128,8,5000,108,16,0,17.07,79,19999
135,100,128,6,5000,108,16,0,17.07,79,18999
69,48,32,3,5000,8,5,0,16.56,56,6299
157,27,128,8,5000,48,16,0,16.51,29,15999
130,27,128,8,1900,2,0,0,7.11,99,1849
22,80,128,8,5000,108,16,0,17.02,50,15999
22,218,128,8,5000,108,16,0,17.02,50,15999
81,253,128,6,5000,48,13,0,16.94,77,15999
113,86,128,4,6000,50,13,0,16.76,10,13490
114,3,128,6,5000,50,8,0,16.76,83,16999
83,175,128,6,6000,50,5,0,17.02,75,10999
113,164,128,4,6000,50,13,0,16.76,10,13490
128,164,128,4,1000,0,0,0,4.5,99,1422
36,67,256,8,4400,50,32,0,16.64,6,29999
129,67,256,8,800,0,0,0,4.5,99,1299
75,273,64,4,5000,50,8,0,16.71,47,11999
75,273,128,6,5000,50,8,0,16.71,47,13999
83,145,64,4,6000,50,5,0,17.02,75,9499
27,106,64,2,5000,8,5,1,16.76,107,6199
27,212,64,2,5000,8,5,1,16.76,107,6199
27,112,64,2,5000,8,5,1,16.76,107,6199
156,197,128,6,5000,48,16,0,16.51,41,12499
17,2,64,4,5000,50,8,0,17.02,59,9999
81,113,256,8,5000,48,13,0,16.94,77,17999
134,202,64,4,5000,50,16,0,16.26,64,12499
138,222,64,4,5000,50,16,0,16.76,42,11499
113,164,128,6,6000,50,13,0,16.76,10,14490
90,120,32,2,5000,8,5,0,16.56,56,6299
113,164,128,6,6000,50,13,0,16.76,10,14490
52,164,128,4,1020,2,0,0,6.1,27,2615
156,196,128,6,5000,48,16,0,16.51,41,12499
3,36,128,6,4410,12,8,0,15.6,15,28999
3,37,128,6,4410,12,8,0,15.6,15,28999
90,25,32,2,5000,8,5,0,16.56,56,6299
10,28,64,4,5000,50,8,1,16.76,7,11499
17,139,64,4,5000,50,8,0,17.02,59,9999
154,238,128,8,5000,50,16,0,16.81,95,23999
154,176,128,8,5000,50,16,0,16.81,95,23999
134,39,64,4,5000,50,16,0,16.26,64,12499
97,248,64,6,5000,50,13,0,16.94,103,14999
10,223,64,4,5000,50,8,1,16.76,7,11499
98,85,128,6,5000,48,13,0,16.94,73,18999
98,132,128,6,5000,48,13,0,16.94,73,18999
98,154,128,6,5000,48,13,0,16.94,73,18999
17,80,64,4,5000,50,8,0,17.02,59,9999
98,132,128,4,5000,48,13,0,16.94,73,16999
98,154,128,4,5000,48,13,0,16.94,73,16999
10,195,64,4,5000,50,8,1,16.76,7,11499
131,195,64,4,800,2,0,0,5.08,0,2490
115,56,64,4,5000,13,5,0,16.51,43,7961
36,157,256,8,4400,50,32,0,16.64,6,29999
130,157,256,8,800,0,0,0,4.5,99,1299
131,157,256,4,1020,2,0,0,6.1,27,2499
